Position,Date,Hours
The MILL Maker Desk,"January 24, 2025",08:15 AM - 11:59 PM
The MILL Maker Rover,"January 24, 2025",11:00 AM - 11:59 PM
The MILL Maker Desk,"January 25, 2025",12:45 PM - 11:59 PM
The MILL Maker Rover,"January 25, 2025",12:45 PM - 11:59 PM
The MILL Maker Desk,"January 26, 2025",12:45 PM - 11:59 PM
The MILL Maker Rover,"January 26, 2025",12:45 PM - 11:59 PM
The MILL Maker Desk,"January 27, 2025",08:15 AM - 11:59 PM
The MILL Maker Rover,"January 27, 2025",11:00 AM - 11:59 PM
The MILL Maker Desk,"January 28, 2025",08:15 AM - 11:59 PM
The MILL Maker Rover,"January 28, 2025",11:00 AM - 11:59 PM
The MILL Maker Desk,"January 29, 2025",08:15 AM - 11:59 PM
The MILL Maker Rover,"January 29, 2025",11:00 AM - 11:59 PM
The MILL Maker Desk,"January 30, 2025",08:15 AM - 11:59 PM
The MILL Maker Rover,"January 30, 2025",11:00 AM - 11:59 PM
The MILL Maker Desk,"January 31, 2025",08:15 AM - 11:59 PM
The MILL Maker Rover,"January 31, 2025",11:00 AM - 11:59 PM
